Evaluation ID,Evaluation Title,Evaluation Description,Evaluation Difficulty,Evaluation Est. Minutes,Question ID,Question Text,Question Type,Question Difficulty,Question Est. Minutes,Criteria IDs (comma-separated),Criteria Names (comma-separated),Criteria Weights (comma-separated),Criteria Descriptions (pipe-separated)
eval-technical-001,JavaScript Fundamentals,Assess understanding of variable declarations and scoping and core JavaScript concepts,beginner,15,q-let-const-var,"Explain the difference between let, const, and var in JavaScript and when to use each.",text,beginner,3,"clarity,content,structure,delivery","Clarity,Content Accuracy,Structure,Delivery","0.25,0.35,0.2,0.2","Clear communication and structure of explanation.|Technical correctness and relevant details.|Logical flow and organization of the answer.|Confidence and concise delivery."
eval-technical-001,JavaScript Fundamentals,Assess understanding of variable declarations and scoping and core JavaScript concepts,beginner,15,q-hoisting,What is hoisting in JavaScript? Explain with examples for both variables and functions.,text,beginner,4,"clarity,content,structure,delivery","Clarity,Content Accuracy,Structure,Delivery","0.25,0.35,0.2,0.2","Clear communication and structure of explanation.|Technical correctness and relevant details.|Logical flow and organization of the answer.|Confidence and concise delivery."
eval-technical-001,JavaScript Fundamentals,Assess understanding of variable declarations and scoping and core JavaScript concepts,beginner,15,q-closures,Explain what closures are in JavaScript and provide a practical use case.,text,intermediate,5,"clarity,content,structure,delivery","Clarity,Content Accuracy,Structure,Delivery","0.25,0.35,0.2,0.2","Clear communication and structure of explanation.|Technical correctness and relevant details.|Logical flow and organization of the answer.|Confidence and concise delivery."
eval-technical-001,JavaScript Fundamentals,Assess understanding of variable declarations and scoping and core JavaScript concepts,beginner,15,q-event-loop,Describe how the JavaScript event loop works and explain the difference between the call stack and the callback queue.,text,intermediate,5,"clarity,content,structure,delivery","Clarity,Content Accuracy,Structure,Delivery","0.25,0.35,0.2,0.2","Clear communication and structure of explanation.|Technical correctness and relevant details.|Logical flow and organization of the answer.|Confidence and concise delivery."
eval-behavioral-001,Behavioral: Conflict Resolution,Probe for structured STAR responses to conflict situations,intermediate,20,q-conflict-star,Tell me about a time you had a conflict with a stakeholder and how you resolved it.,text,intermediate,5,"clarity,content,structure,delivery","Clarity,Content Depth,Structure,Delivery","0.25,0.35,0.2,0.2","Clear articulation of Situation Task Action Result.|Specific actions and measurable outcomes.|STAR organization and coherence.|Confidence and concision."
eval-behavioral-001,Behavioral: Conflict Resolution,Probe for structured STAR responses to conflict situations,intermediate,20,q-team-disagreement,Describe a situation where you disagreed with your team about a technical decision. How did you handle it?,text,intermediate,5,"clarity,content,structure,delivery","Clarity,Content Depth,Structure,Delivery","0.25,0.35,0.2,0.2","Clear articulation of Situation Task Action Result.|Specific actions and measurable outcomes.|STAR organization and coherence.|Confidence and concision."
eval-behavioral-001,Behavioral: Conflict Resolution,Probe for structured STAR responses to conflict situations,intermediate,20,q-priority-conflict,"Tell me about a time when you had competing priorities from different stakeholders. How did you manage the situation?",text,intermediate,5,"clarity,content,structure,delivery","Clarity,Content Depth,Structure,Delivery","0.25,0.35,0.2,0.2","Clear articulation of Situation Task Action Result.|Specific actions and measurable outcomes.|STAR organization and coherence.|Confidence and concision."
eval-system-design-001,System Design: Scalability,Evaluate ability to design scalable distributed systems,hard,30,q-design-url-shortener,"Design a URL shortening service like bit.ly. Consider scalability, storage, and how to handle collisions.",text,hard,10,"clarity,scalability,tradeoffs,completeness","Clarity,Scalability,Trade-offs,Completeness","0.2,0.3,0.25,0.25","Clear explanation of system components and interactions.|Consideration of scale load balancing and performance.|Understanding of design trade-offs and constraints.|Coverage of key system design aspects."
eval-system-design-001,System Design: Scalability,Evaluate ability to design scalable distributed systems,hard,30,q-design-rate-limiter,Design a rate limiting system for an API. Explain your approach to distributed rate limiting.,text,hard,10,"clarity,scalability,tradeoffs,completeness","Clarity,Scalability,Trade-offs,Completeness","0.2,0.3,0.25,0.25","Clear explanation of system components and interactions.|Consideration of scale load balancing and performance.|Understanding of design trade-offs and constraints.|Coverage of key system design aspects."
eval-system-design-001,System Design: Scalability,Evaluate ability to design scalable distributed systems,hard,30,q-design-cache,"Design a distributed caching system. Discuss cache eviction policies, consistency, and invalidation strategies.",text,hard,10,"clarity,scalability,tradeoffs,completeness","Clarity,Scalability,Trade-offs,Completeness","0.2,0.3,0.25,0.25","Clear explanation of system components and interactions.|Consideration of scale load balancing and performance.|Understanding of design trade-offs and constraints.|Coverage of key system design aspects."

